Year,ID,Name,Height,Weight,Strength,Stamina,Agility,Composure
24,231747,Kylian Mbappé Lottin,182,75,77,88,93,88.0
24,239085,Erling Braut Haaland,195,94,93,76,76,87.0
24,192985,Kevin De Bruyne,181,75,74,88,74,88.0
24,158023,Lionel Andrés Messi Cuccittini,169,67,68,70,91,96.0
24,165153,Karim Benzema,185,81,82,82,77,90.0
24,188545,Robert Lewandowski,185,81,89,76,77,88.0
24,192119,Thibaut Nicolas Marc Courtois,199,96,70,38,63,66.0
24,202126,Harry Kane,188,85,84,83,66,92.0
24,238794,Vinícius José Paixão de Oliveira Júnior,176,73,64,84,94,79.0
24,212831,Alisson Ramsés Becker,193,91,78,32,40,66.0
24,231866,Rodrigo Hernández Cascante,191,82,83,89,65,85.0
24,239818,Rúben dos Santos Gato Alves Dias,187,82,90,78,60,81.0
24,190871,Neymar da Silva Santos Júnior,175,68,51,78,93,93.0
24,192448,Marc-André ter Stegen,187,85,78,35,39,70.0
24,200145,Carlos Henrique Venancio Casimiro,185,84,88,88,61,85.0
24,203376,Virgil van Dijk,193,92,93,72,59,89.0
24,209331,Mohamed Salah Ghaly,175,71,75,87,89,90.0
24,239053,Federico Santiago Valverde Dipetta,182,78,80,89,77,84.0
24,232293,Victor James Osimhen,185,78,86,81,78,80.0
24,210257,Ederson Santana de Moraes,188,86,78,44,60,70.0
24,212622,Joshua Walter Kimmich,177,75,68,94,84,86.0
24,194765,Antoine Griezmann,176,73,69,86,89,89.0
24,200389,Jan Oblak,188,87,78,42,64,68.0
24,212198,Bruno Miguel Borges Fernandes,179,69,66,95,78,82.0
24,218667,Bernardo Mota Veiga de Carvalho e Silva,173,64,54,93,95,89.0
24,222665,Martin Ødegaard,178,68,56,81,85,86.0
24,228702,Frenkie de Jong,181,74,74,89,87,90.0
24,230621,Gianluigi Donnarumma,196,90,72,34,64,65.0
24,231478,Lautaro Javier Martínez,174,72,84,80,86,86.0
24,235073,Gregor Kobel,195,88,81,30,37,66.0
24,215698,Mike Maignan,191,89,78,39,41,68.0
24,207865,Marcos Aoás Corrêa,183,75,78,83,68,86.0
24,167495,Manuel Peter Neuer,193,93,80,43,51,70.0
24,177003,Luka Modrić,172,66,58,83,92,92.0
24,200104,손흥민 孙兴慜,183,78,64,88,81,87.0
24,256790,Jamal Musiala,184,72,53,78,93,84.0
24,247635,Khvicha Kvaratskhelia,183,70,70,79,85,82.0
24,251854,Pedro González López,174,60,73,87,88,87.0
24,241721,Rafael Alexandre Conceição Leão,188,81,80,77,85,83.0
24,252371,Jude Victor William Bellingham,186,75,75,93,81,81.0
24,253163,Ronald Federico Araújo da Silva,188,79,87,73,56,76.0
24,246669,Bukayo Saka,178,65,63,84,85,80.0
24,235243,Matthijs de Ligt,189,89,91,75,53,82.0
24,240130,Éder Gabriel Militão,186,78,79,85,70,74.0
24,241096,Sandro Tonali,181,79,82,86,81,84.0
24,224232,Nicolò Barella,175,68,73,94,90,86.0
24,231281,Trent Alexander-Arnold,180,69,66,89,72,82.0
24,232411,Christopher Nkunku,175,73,64,78,88,81.0
24,231443,Ousmane Dembélé,178,67,52,68,90,81.0
24,20801,Cristiano Ronaldo dos Santos Aveiro,187,85,76,77,76,92.0
24,182521,Toni Kroos,183,76,72,75,63,88.0
24,186153,Wojciech Tomasz Szczęsny,195,90,65,45,55,65.0
24,186942,İlkay Gündoğan,180,80,73,75,77,87.0
24,189513,Daniel Parejo Muñoz,182,74,70,75,62,85.0
24,204485,Riyad Mahrez,179,67,57,75,91,81.0
24,208722,Sadio Mané,174,69,70,79,87,84.0
24,210514,João Pedro Cavaco Cancelo,182,74,62,88,79,85.0
24,211110,Paulo Bruno Exequiel Dybala,177,75,60,72,88,79.0
24,215914,N'Golo Kanté,168,70,70,84,78,84.0
24,216267,Andrew Robertson,178,64,65,95,75,83.0
24,223848,Sergej Milinković-Savić,192,95,87,91,62,84.0
24,243812,Rodrygo Silva de Goes,174,64,55,81,87,81.0
24,256630,Florian Richard Wirtz,177,71,53,83,86,83.0
24,232656,Theo Bernard François Hernández,184,81,81,90,78,80.0
24,237383,Alessandro Bastoni,190,75,83,81,58,84.0
24,237692,Philip Foden,171,69,47,83,91,81.0
24,241486,Jules Koundé,180,75,80,78,71,82.0
24,231677,Marcus Rashford,186,70,73,76,81,82.0
24,224458,Diogo José Teixeira da Silva,178,68,71,79,86,80.0
24,234378,Declan Rice,185,80,79,91,55,83.0
24,203574,John Stones,188,76,77,74,66,87.0
24,212218,Aymeric Laporte,191,85,82,67,57,84.0
24,226753,André Onana,190,93,79,38,66,64.0
24,186345,Kieran Trippier,173,71,64,85,66,84.0
24,188943,Kevin Trapp,189,84,75,45,42,64.0
24,192387,Ciro Immobile,185,85,74,73,75,76.0
24,192629,Iago Aspas Juncal,176,67,60,69,87,85.0
24,193041,Keylor Navas Gamboa,185,80,75,39,60,63.0
24,197445,David Olatukunbo Alaba,180,78,78,73,76,85.0
24,201535,Raphaël Varane,191,81,84,65,62,82.0
24,202811,Damián Emiliano Martínez,195,88,70,40,49,62.0
24,205452,Antonio Rüdiger,190,85,91,70,56,78.0
24,206517,Jack Grealish,180,81,71,83,84,88.0
24,208128,Hakan Çalhanoğlu,178,76,55,80,83,85.0
24,209658,Leon Christoph Goretzka,189,82,89,83,75,82.0
24,209981,Yassine Bounou,195,78,69,43,47,57.0
24,209989,Thomas Partey,185,77,84,79,63,87.0
24,210935,Domenico Berardi,183,72,64,78,92,78.0
24,213345,Kingsley Junior Coman,181,75,66,69,92,78.0
24,217870,Giovanni Di Lorenzo,183,83,78,90,78,77.0
24,224334,Marcos Javier Acuña,172,69,82,91,83,86.0
24,241637,Aurélien Tchouaméni,187,81,81,83,72,83.0
24,226754,Ismaël Bennacer,175,70,71,84,87,84.0
24,232756,Fikayo Tomori,185,79,84,74,74,81.0
24,241852,Moussa Diaby,171,67,44,82,92,75.0
24,251566,Gabriel Teodoro Martinelli Silva,178,75,63,82,87,79.0
24,233934,Aaron Ramsdale,191,77,59,35,53,65.0
24,237679,Randal Kolo Muani,187,73,74,74,84,86.0
24,239301,Lisandro Martínez,178,77,80,81,77,87.0
24,239580,Gleison Bremer Silva Nascimento,188,82,85,76,65,78.0
24,247851,Bruno Guimarães Rodriguez Moura,182,74,78,87,77,87.0
24,212190,Niklas Süle,195,99,95,64,34,84.0
24,224293,Rúben Diogo da Silva Neves,183,83,67,79,68,88.0
24,227127,Alejandro Remiro Gargallo,192,79,73,42,69,55.0
24,232580,Gabriel dos Santos Magalhães,190,87,86,71,51,74.0
24,235212,Achraf Hakimi Mouh,181,73,72,92,83,80.0
24,237086,김민재 金敏在,190,86,88,77,65,72.0
24,238074,Reece James,178,87,84,77,72,84.0
