Year,ID,Name,Nationality,Age,Height,Weight,Preferred Foot,Body Type,Skill Moves,Weak Foot,Finishing,ShotPower,Positioning,Crossing,Marking,StandingTackle,SlidingTackle,Interceptions,ShortPassing,Vision,BallControl,LongPassing,Stamina,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Value,Wage,Contract Valid Until,AttackingScore,DefendingScore,FieldingScore,GoalkeepingScore
24,231747,Kylian Mbappé Lottin,France,24,182,75,Right,Unique,5,4,94,90,93,78,26,34,32,38,86,83,92,71,88,13,5,7,11,6,181500000.0,230000.0,2024.0,98.24999999999999,44.4,85.89999999999999,16.6
24,239085,Erling Braut Haaland,Norway,22,195,94,Left,Unique,3,3,96,94,96,47,38,47,29,43,77,74,82,53,76,7,14,13,11,7,185000000.0,340000.0,2027.0,92.44999999999999,53.300000000000004,76.0,18.200000000000003
24,192985,Kevin De Bruyne,Belgium,32,181,75,Right,Unique,4,5,85,92,88,95,66,70,53,66,94,95,92,94,88,15,13,5,10,13,103000000.0,350000.0,2025.0,99.1,68.15,91.95,18.15
24,158023,Lionel Andrés Messi Cuccittini,Argentina,36,169,67,Left,Unique,4,4,89,83,91,83,20,35,24,40,91,92,93,90,70,6,11,15,14,8,41000000.0,23000.0,2025.0,98.35,40.75,89.65,16.0
24,165153,Karim Benzema,France,35,185,81,Right,Normal (170-185),4,4,91,87,92,75,43,24,18,39,89,90,91,76,82,13,11,5,5,7,51000000.0,95000.0,2026.0,96.1,45.050000000000004,86.95,16.6
24,188545,Robert Lewandowski,Poland,34,185,81,Right,Unique,4,4,93,91,94,76,35,42,19,49,84,81,90,70,76,15,6,12,8,10,58000000.0,340000.0,2026.0,96.7,51.49999999999999,82.85000000000001,18.550000000000004
24,192119,Thibaut Nicolas Marc Courtois,Belgium,31,199,96,Left,Unique,1,3,14,57,13,14,20,18,16,15,33,44,23,35,38,85,89,76,90,93,63000000.0,250000.0,2026.0,28.4,27.8,39.1,85.55
24,202126,Harry Kane,England,29,188,85,Right,Unique,3,5,95,93,94,80,46,46,38,42,87,87,87,88,83,8,10,11,14,11,119500000.0,170000.0,2027.0,97.75,54.050000000000004,87.09999999999998,18.1
24,238794,Vinícius José Paixão de Oliveira Júnior,Brazil,22,176,73,Right,Lean (170-185),5,4,89,76,87,78,32,25,18,26,80,81,90,77,84,5,7,7,7,10,158500000.0,310000.0,2025.0,92.89999999999999,36.650000000000006,83.35,13.8
24,212831,Alisson Ramsés Becker,Brazil,30,193,91,Right,Unique,1,3,13,64,13,17,15,19,16,11,60,66,42,58,32,86,85,85,90,89,77500000.0,180000.0,2027.0,36.74999999999999,27.700000000000006,54.800000000000004,86.5
24,231866,Rodrigo Hernández Cascante,Spain,27,191,82,Right,Normal (185+),3,4,64,91,75,63,88,87,78,84,89,82,88,90,89,10,10,7,14,8,105500000.0,250000.0,2027.0,86.25,84.5,86.75000000000001,16.9
